Address,Price,Property Type
"Flat 102b, Larch Court 2, Royal Oak Yard, London, Greater London SE1 3GB","£550,000",Flat
"Flat 202, Block C, 27, Green Walk, London, Greater London SE1 4TQ","£810,000",Flat
"Apartment 1111, 55, Upper Ground, London, Greater London SE1 9EY","£800,000",Flat
"Flat 68, Globe View House, 27, Pocock Street, London, Greater London SE1 0FU","£165,000",Flat
"Apartment 603, Western Building, 3, Triptych Place, London, Greater London SE1 9FL","£1,055,000",Flat
"Flat 627, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£795,000",Flat
"Flat 10, Portland Court, 54, Trinity Street, London, Greater London SE1 4JZ","£625,000",Flat
"48, Whites Grounds Estate, London, Greater London SE1 3JZ","£450,000",flat
"9, Colnbrook Street, London, Greater London SE1 6EZ","£1,105,000",terraced
"14, Vintry Court, 18, Porlock Street, London, Greater London SE1 3RY","£575,000",Flat
"Flat 30, Portland Court, 50, Trinity Street, London, Greater London SE1 4JZ","£825,000",Flat
"Flat 29, Bentham House, 7, Falmouth Road, London, Greater London SE1 4JY","£660,000",Flat
"Apartment 1006, 251, Southwark Bridge Road, London, Greater London SE1 6FJ","£625,000",Flat
"Flat 126, 100, Westminster Bridge Road, London, Greater London SE1 7XB","£825,000",Flat
"40, Roupell Street, London, Greater London SE1 8TB","£1,000,000",terraced
"6, Godwin House, Still Walk, London, Greater London SE1 2RA","£1,270,000",Flat
"20, Delphini Apartments, 10, St Georges Circus, London, Greater London SE1 8EH","£1,090,000",Flat
"Flat 39, Brandon House, 10, Hilary Mews, London, Greater London SE1 1AP","£625,000",Flat
"Flat 127, 100, Westminster Bridge Road, London, Greater London SE1 7XB","£650,000",Flat
"Flat 14, Errington House, Brigade Mews, London, Greater London SE1 0GN","£725,000",Flat
"Flat 76, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN","£900,000",Flat
"30, Gladstone Street, London, Greater London SE1 6EY","£1,499,800",terraced
"Flat 28, Benson House, Hatfields, London, Greater London SE1 8DQ","£370,000",flat
"Flat 22, 14, Keppel Row, London, Greater London SE1 0FB","£2,075,000",Flat
"40, Gladstone Street, London, Greater London SE1 6EY","£1,575,000",terraced
"Flat 70, Rennie Court, 11, Upper Ground, London, Greater London SE1 9NZ","£585,000",Flat
"Flat 96, Rennie Court, 11, Upper Ground, London, Greater London SE1 9NZ","£695,000",Flat
"Flat 10, 14, Weller Street, London, Greater London SE1 1QU","£930,000",Flat
"4, Bath Terrace, London, Greater London SE1 6QE","£430,000",flat
"Flat 19, Otford House, Staple Street, London, Greater London SE1 4LS","£455,000",Flat
"Flat 3, 202, Great Suffolk Street, London, Greater London SE1 1NY","£540,000",Flat
"108, Lambeth Road, London, Greater London SE1 7PT","£820,000",flat
"Apartment 1003, Western Building, 3, Triptych Place, London, Greater London SE1 9FL","£1,800,000",Flat
"Flat 46, Perronet House, Princess Street, London, Greater London SE1 6JS","£490,000",flat
"Flat 8, Clandon House, Boyfield Street, London, Greater London SE1 0SD","£600,000",flat
"18, Oakey Lane, London, Greater London SE1 7HL","£775,000",terraced
"Flat 2, 5a, Green Walk, London, Greater London SE1 4TU","£740,000",Flat
"Flat 6, Errington House, Brigade Mews, London, Greater London SE1 0GN","£885,937",Flat
"Apartment 66, 1, Blackfriars Road, London, Greater London SE1 9GD","£950,000",Flat
"Flat 803, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YU","£510,000",Flat
"70, Empire Square South, London, Greater London SE1 4NF","£420,000",Flat
"Flat 19, 12, Bermondsey Square, London, Greater London SE1 3FD","£535,000",Flat
"27, Gallery Apartments, 6, Lamb Walk, London, Greater London SE1 3GL","£1,090,000",Flat
"Apartment 57, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6BA","£350,000",Flat
"49, Tanners Yard, 239, Long Lane, London, Greater London SE1 4PT","£986,000",Flat
"Flat 18, Lewes House, Druid Street, London, Greater London SE1 2ET","£496,000",Flat
"Flat 12, Tay Court, 44, Decima Street, London, Greater London SE1 4LY","£677,500",Flat
"Flat 16, Errington House, Brigade Mews, London, Greater London SE1 0GN","£895,000",Flat
"Flat 9, Berwick Court, 10, Swan Street, London, Greater London SE1 1BG","£730,000",Flat
"Flat 10, 5, Brigade Mews, London, Greater London SE1 0GH","£788,000",Flat
"11, Gallery Apartments, 6, Lamb Walk, London, Greater London SE1 3GL","£750,000",Flat
"Flat 49, Errington House, Brigade Mews, London, Greater London SE1 0GN","£735,000",Flat
"Flat 50, Errington House, Brigade Mews, London, Greater London SE1 0GN","£740,000",Flat
"Flat 502, Block B, 60, Holland Street, London, Greater London SE1 9JF","£1,850,000",Flat
"Flat 90, South Block 1b, Belvedere Road, London, Greater London SE1 7GD","£727,000",Flat
"Flat 205, 5, Belvedere Road, London, Greater London SE1 7AF","£2,400,000",Flat
"Flat 98, Errington House, Brigade Mews, London, Greater London SE1 0GN","£690,000",Flat
"Flat 81, Errington House, Brigade Mews, London, Greater London SE1 0GN","£1,003,950",Flat
"46, Rothsay Street, London, Greater London SE1 4UE","£710,000",terraced
"Unit A, Flat 14, 15, Cluny Place, London, Greater London SE1 4QS","£1,040,000",Flat
"Flat 32, Telford House, Tiverton Street, London, Greater London SE1 6NY","£340,000",flat
"Flat 46, Errington House, Brigade Mews, London, Greater London SE1 0GN","£630,500",Flat
"Flat 4, 102, Long Lane, London, Greater London SE1 4BN","£505,000",Flat
"Flat 307, Bankside Lofts, 65, Hopton Street, London, Greater London SE1 9JL","£800,000",Flat
"Flat 516, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£1,190,000",Flat
"34, Buckstone Apartments, 140, Blackfriars Road, London, Greater London SE1 8BW","£225,000",Flat
"40c, Maltings Place, London, Greater London SE1 3JB","£420,000",Flat
"Flat 532, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YT","£490,000",Flat
"Flat 3, 28, Clennam Street, London, Greater London SE1 1ER","£574,500",Flat
"Flat 14, Davies House, 1, Brigade Mews, London, Greater London SE1 0GG","£764,000",Flat
"Apartment 203, Western Building, 3, Triptych Place, London, Greater London SE1 9FL","£708,100",Flat
