Address,Price,Property Type
"Flat 63, Errington House, Brigade Mews, London, Greater London SE1 0GN","£785,000",Flat
"33, Sandringham House, Earls Way, London, Greater London SE1 2QX","£835,000",Flat
"3, Gladstone Street, London, Greater London SE1 6EY","£1,225,000",terraced
"Flat 31, Errington House, Brigade Mews, London, Greater London SE1 0GN","£957,000",Flat
"Flat 11, Munro House, Murphy Street, London, Greater London SE1 7AJ","£490,000",flat
"152b, Union Street, London, Greater London SE1 0LH","£825,000",Flat
"35, Delphini Apartments, 10, St Georges Circus, London, Greater London SE1 8EH","£1,150,000",Flat
"Flat 43, Errington House, Brigade Mews, London, Greater London SE1 0GN","£975,000",Flat
"Flat 23, Errington House, Brigade Mews, London, Greater London SE1 0GN","£907,500",Flat
"1, Hulme Place, London, Greater London SE1 1HX","£1,202,500",semi-detached
"11, Sawyer Street, London, Greater London SE1 0EQ","£957,125",Flat
"13, Sawyer Street, London, Greater London SE1 0EQ","£1,200,000",Flat
"Flat 12, 3, Leathermarket Street, London, Greater London SE1 3HN","£1,650,000",Flat
"24, West Square, London, Greater London SE11 4SN","£2,400,000",terraced
"Flat 19, The Perspective, 100, Westminster Bridge Road, London, Greater London SE1 7XA","£590,000",Flat
"Flat 28, Errington House, 4, Brigade Mews, London, Greater London SE1 0GN","£900,000",Flat
"Flat 66, Errington House, Brigade Mews, London, Greater London SE1 0GN","£945,000",Flat
"Flat 79, Errington House, Brigade Mews, London, Greater London SE1 0GN","£827,000",Flat
"Flat 5, Errington House, Brigade Mews, London, Greater London SE1 0GN","£721,000",Flat
"Flat 140, 100, Westminster Bridge Road, London, Greater London SE1 7XB","£1,010,000",Flat
"Flat 16, 14, Keppel Row, London, Greater London SE1 0FB","£890,000",Flat
"Flat 172, 100, Westminster Bridge Road, London, Greater London SE1 7XR","£480,000",Flat
"56, Guy Street, London, Greater London SE1 3RF","£1,050,000",terraced
"93, Meakin Estate, London, Greater London SE1 4QL","£500,000",Flat
"25, Boulevard Apartments, 33, Ufford Street, London, Greater London SE1 8FF","£1,010,000",Flat
