Address,Price,Property Type
"22, Potier Street, London, Greater London SE1 4UX","£450,000",flat
"Flat 9, Rennie House, Bath Terrace, London, Greater London SE1 6PN","£400,000",flat
"Flat 61, Eastwell House, Weston Street, London, Greater London SE1 4DJ","£433,000",Flat
"Flat 143, North Block 1c, Belvedere Road, London, Greater London SE1 7GF","£457,500",Flat
"Flat 180, South Block 1b, Belvedere Road, London, Greater London SE1 7GE","£480,000",Flat
"Flat 198, South Block 1b, Belvedere Road, London, Greater London SE1 7GE","£585,000",Flat
"Flat 109, Whitehouse Apartments, 9, Belvedere Road, London, Greater London SE1 8YP","£427,000",Flat
"Flat 2, 129, St Georges Road, London, Greater London SE1 6HY","£550,000",Flat
"Flat 7, Winchester House, 201, Southwark Bridge Road, London, Greater London SE1 0DT","£415,000",Flat
"Flat 37, Portland Court, 1, Falmouth Road, London, Greater London SE1 4JX","£750,000",Flat
"17, Oxford Drive, London, Greater London SE1 2FB","£550,000",flat
"Flat 41, The Perspective, 100, Westminster Bridge Road, London, Greater London SE1 7XA","£690,000",Flat
"11, Windlesham House, Duchess Walk, London, Greater London SE1 2RZ","£610,000",Flat
"40, Maltings Place, London, Greater London SE1 3JB","£390,000",Flat
"14, Brockham Street, London, Greater London SE1 4HX","£2,486,000",terraced
"Apartment 35, Conquest Tower, 130, Blackfriars Road, London, Greater London SE1 8BZ","£660,000",Flat
"Apartment 6, Calico House, 199, Long Lane, London, Greater London SE1 4PN","£460,000",Flat
"Flat 28, Symington House, Deverell Street, London, Greater London SE1 4AA","£358,000",flat
"Flat 10, Tavern Court, 95, New Kent Road, London, Greater London SE1 6RY","£475,000",Flat
"Flat 12, Kittiwake Court, 4, Great Dover Street, London, Greater London SE1 4XR","£455,000",Flat
"Apartment 477, Metro Central Heights, 119, Newington Causeway, London, Greater London SE1 6DT","£500,000",Flat
"Flat 32, 237, Union Street, London, Greater London SE1 0LR","£850,000",Flat
"48, Pearman Street, London, Greater London SE1 7RB","£1,220,000",terraced
"Flat 3, Bench Apartments, 22, Kings Bench Street, London, Greater London SE1 0QX","£470,000",Flat
"Apartment 1510, 55, Upper Ground, London, Greater London SE1 9EY","£824,250",Flat
